Incident ID,Incident Date,State,City Or County,Killed,Injured,Latitude,Longitude,Month,Year
1656873,11-Apr-20,California,Bakersfield,0,6,35.367,-119.017,Apr,2020
1656265,10-Apr-20,Michigan,Muskegon,0,4,43.23417,-86.24833,Apr,2020
1655674,8-Apr-20,Michigan,Detroit,0,4,42.33139,-83.04583,Apr,2020
1656373,8-Apr-20,Alaska,Anchorage,0,4,61.217,-149.9,Apr,2020
1654971,8-Apr-20,South Carolina,Greenwood,1,3,34.19528,-82.16167,Apr,2020
1654341,7-Apr-20,Illinois,Chicago,1,3,41.88194,-87.62778,Apr,2020
1652642,5-Apr-20,New York,Brooklyn,0,4,40.62472,-73.95222,Apr,2020
1652734,5-Apr-20,California,Los Angeles,1,3,34.05,-118.25,Apr,2020
1653012,5-Apr-20,South Carolina,Lancaster,1,4,34.72111,-80.77333,Apr,2020
1652601,4-Apr-20,Texas,Vidor,0,4,30.13139,-93.99639,Apr,2020
1652328,4-Apr-20,Florida,Hialeah,1,4,25.86056,-80.29389,Apr,2020
1652073,4-Apr-20,Texas,Lubbock,2,2,33.57778,-101.89,Apr,2020
1651742,3-Apr-20,Kentucky,Louisville,0,4,38.22533,-85.7417,Apr,2020
1649473,31-Mar-20,Georgia,Macon,3,1,32.83472,-83.65167,Mar,2020
1648832,30-Mar-20,Pennsylvania,Philadelphia,0,5,39.95278,-75.16361,Mar,2020
1648205,29-Mar-20,Georgia,Atlanta,0,4,33.755,-84.39,Mar,2020
1647661,28-Mar-20,Maryland,Baltimore,1,3,39.283,-76.617,Mar,2020
1644111,23-Mar-20,Texas,San Antonio,0,4,29.425,-98.49389,Mar,2020
1643775,22-Mar-20,South Carolina,Hanahan,0,4,32.91694,-79.99583,Mar,2020
1643157,20-Mar-20,Virginia,Norfolk,0,4,36.8508,-76.2859,Mar,2020
1642826,20-Mar-20,Missouri,Saint Louis,0,4,38.627,-90.1994,Mar,2020
1641923,18-Mar-20,Florida,Jacksonville,1,4,30.33694,-81.66139,Mar,2020
1641216,17-Mar-20,Maryland,Baltimore,0,7,39.283,-76.617,Mar,2020
1640317,15-Mar-20,Missouri,Springfield,5,2,37.21528,-93.29833,Mar,2020
1640295,15-Mar-20,North Carolina,Moncure,7,0,35.62278,-79.07833,Mar,2020
1640007,14-Mar-20,Michigan,Saginaw,2,2,43.41778,-83.96444,Mar,2020
1639542,14-Mar-20,New Mexico,Albuquerque,1,3,35.11083,-106.61,Mar,2020
1639413,13-Mar-20,Illinois,Rockford,0,4,42.25944,-89.06444,Mar,2020
1640278,13-Mar-20,Louisiana,New Orleans (Algiers),0,5,29.95,-90.08,Mar,2020
1637520,10-Mar-20,Pennsylvania,Chester,2,2,39.84722,-75.37278,Mar,2020
1635796,8-Mar-20,Maryland,Rosedale,1,5,39.32833,-76.51111,Mar,2020
1636471,8-Mar-20,Illinois,South Holland,0,4,41.6,-87.6,Mar,2020
1636564,8-Mar-20,California,Ceres,1,3,37.60139,-120.95722,Mar,2020
1635750,7-Mar-20,Ohio,Cleveland,1,18,41.48222,-81.66972,Mar,2020
1635570,7-Mar-20,New Mexico,Albuquerque,0,4,35.11083,-106.61,Mar,2020
1635411,7-Mar-20,Illinois,Chicago,0,7,41.88194,-87.62778,Mar,2020
1635118,6-Mar-20,District of Columbia,Washington,0,6,38.9072,-77.0369,Mar,2020
1634128,4-Mar-20,California,Tulare,1,5,36.20667,-119.3425,Mar,2020
1631040,29-Feb-20,Missouri,Kansas City,1,4,39.09972,-94.57833,Feb,2020
1631831,29-Feb-20,Colorado,Brighton,0,5,39.96479,-104.796581,Feb,2020
1629488,26-Feb-20,Wisconsin,Milwaukee,6,0,43.05,-87.95,Feb,2020
1629042,25-Feb-20,Illinois,Chicago,1,4,41.88194,-87.62778,Feb,2020
1627713,23-Feb-20,Texas,Houston,0,7,29.76278,-95.38306,Feb,2020
1627335,23-Feb-20,North Carolina,Clarkton,3,1,34.48944,-78.65667,Feb,2020
1625553,20-Feb-20,Idaho,Caldwell,2,3,43.65833,-116.68028,Feb,2020
1625787,20-Feb-20,North Carolina,Greensboro,0,4,36.08,-79.81944,Feb,2020
1623696,17-Feb-20,Mississippi,Port Gibson,2,2,31.95611,-90.98306,Feb,2020
1622962,16-Feb-20,Florida,Pensacola,1,4,30.433,-87.2,Feb,2020
1622406,16-Feb-20,Connecticut,Hartford,1,5,41.7625,-72.67417,Feb,2020
1622233,15-Feb-20,Tennessee,Memphis,0,7,35.1175,-89.97111,Feb,2020
1622340,15-Feb-20,Louisiana,New Orleans,0,4,29.95,-90.08,Feb,2020
1621821,14-Feb-20,Illinois,Chicago,0,6,41.88194,-87.62778,Feb,2020
1619064,10-Feb-20,Delaware,Dover,1,4,39.15806,-75.52444,Feb,2020
1616964,8-Feb-20,Texas,Houston,1,3,29.76278,-95.38306,Feb,2020
1615155,5-Feb-20,Indiana,Indianapolis,4,0,39.76861,-86.15806,Feb,2020
1612716,3-Feb-20,California,Lebec,1,5,34.83733,-118.86362,Feb,2020
1613020,3-Feb-20,Maine,Machias,3,1,44.683,-67.467,Feb,2020
1612597,1-Feb-20,Mississippi,Philadelphia,0,4,32.77417,-89.11278,Feb,2020
